specialty_code;profile;institution_name;education_form;funding;category;plan_places;current_places;fraction
Sp 04.05.01;Фундаментальная и прикладная химия;УУНиТ;Очная;Бюджетная основа;Особая;5;0;0.0
Sp 04.05.01;Фундаментальная и прикладная химия;УУНиТ;Очная;Бюджетная основа;Отдельная;5;0;0.0
Sp 04.05.01;Фундаментальная и прикладная химия;УУНиТ;Очная;Бюджетная основа;Целевая;5;1;0.2
Sp 05.03.01;Геология;УУНиТ;Очная;Бюджетная основа;Общая;21;3;0.14285714285714285
Sp 05.03.01;Геология;УУНиТ;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 05.03.01;Геология;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 05.03.01;Геология;УУНиТ;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 05.03.02;География;УУНиТ;Очная;Бюджетная основа;Общая;21;7;0.3333333333333333
Sp 05.03.02;География;УУНиТ;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 05.03.02;География;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 05.03.02;География;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 05.03.03;Картография и геоинформатика;УУНиТ;Очная;Бюджетная основа;Общая;21;20;0.9523809523809523
Sp 05.03.03;Картография и геоинформатика;УУНиТ;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 05.03.03;Картография и геоинформатика;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 05.03.03;Картография и геоинформатика;УУНиТ;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 05.03.04;Гидрометеорология;УУНиТ;Очная;Бюджетная основа;Общая;21;3;0.14285714285714285
Sp 05.03.04;Гидрометеорология;УУНиТ;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 05.03.04;Гидрометеорология;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 05.03.04;Гидрометеорология;УУНиТ;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 05.03.06;Природопользование;УУНиТ;Очная;Бюджетная основа;Общая;18;3;0.16666666666666666
Sp 05.03.06;Природопользование;УУНиТ;Очная;Бюджетная основа;Особая;2;0;0.0
Sp 05.03.06;Природопользование;УУНиТ;Очная;Бюджетная основа;Отдельная;2;0;0.0
Sp 05.03.06;Природопользование;УУНиТ;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 05.03.06;Природопользование;УУНиТ;Очно-заочная;Бюджетная основа;Общая;16;0;0.0
Sp 05.03.06;Природопользование;УУНиТ;Очно-заочная;Бюджетная основа;Особая;2;0;0.0
Sp 05.03.06;Природопользование;УУНиТ;Очно-заочная;Бюджетная основа;Отдельная;2;0;0.0
Sp 05.03.06;Природопользование;УУНиТ;Очно-заочная;Бюджетная основа;Целевая;1;0;0.0
Sp 05.04.01;Инженерная геология и гидрогеология;УУНиТ;Очная;Бюджетная основа;Общая;10;7;0.7
Sp 05.04.01;Цифровые технологии в петрофизике;УУНиТ;Очная;Бюджетная основа;Общая;10;5;0.5
Sp 05.04.01;Инженерная геология и гидрогеология;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 05.04.01;Цифровые технологии в петрофизике;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
